 gdp_for_year ($) ,HDI for year,age,country,gdp_per_capita ($),generation,population,sex,suicides/100k pop,suicides_no,year
"757,950,678,647",,5-14 years,Canada,25570,Millenials,1997372,female,0.85,17,2002
"892,380,986,368",,35-54 years,Canada,29787,Boomers,4950960,male,26.6,1317,2003
"892,380,986,368",,55-74 years,Canada,29787,Silent,2636917,male,22.03,581,2003
"892,380,986,368",,75+ years,Canada,29787,Silent,718916,male,21,151,2003
"892,380,986,368",,25-34 years,Canada,29787,Generation X,2205120,male,19.32,426,2003
"892,380,986,368",,15-24 years,Canada,29787,Millenials,2211023,male,18.5,409,2003
"892,380,986,368",,35-54 years,Canada,29787,Boomers,4956221,female,8.84,438,2003
"892,380,986,368",,15-24 years,Canada,29787,Millenials,2103731,female,5.37,113,2003
"892,380,986,368",,25-34 years,Canada,29787,Generation X,2151969,female,5.3,114,2003
"892,380,986,368",,55-74 years,Canada,29787,Silent,2792599,female,5.19,145,2003
"892,380,986,368",,75+ years,Canada,29787,Silent,1156073,female,3.81,44,2003
"892,380,986,368",,5-14 years,Canada,29787,Millenials,2087408,male,0.91,19,2003
"892,380,986,368",,5-14 years,Canada,29787,Millenials,1987896,female,0.4,8,2003
"1,023,196,003,075",,35-54 years,Canada,33787,Boomers,4982932,male,24.28,1210,2004
"1,023,196,003,075",,25-34 years,Canada,33787,Generation X,2220407,male,21.48,477,2004
"1,023,196,003,075",,75+ years,Canada,33787,Silent,744741,male,20.68,154,2004
"1,023,196,003,075",,55-74 years,Canada,33787,Silent,2721795,male,18.26,497,2004
"1,023,196,003,075",,15-24 years,Canada,33787,Millenials,2230355,male,16.99,379,2004
"1,023,196,003,075",,35-54 years,Canada,33787,Boomers,4986017,female,8.58,428,2004
"1,023,196,003,075",,55-74 years,Canada,33787,Silent,2879432,female,6.29,181,2004
"1,023,196,003,075",,25-34 years,Canada,33787,Generation X,2169563,female,5.25,114,2004
"1,023,196,003,075",,15-24 years,Canada,33787,Millenials,2124167,female,4.75,101,2004
"1,023,196,003,075",,75+ years,Canada,33787,Silent,1183549,female,3.72,44,2004
"1,023,196,003,075",,5-14 years,Canada,33787,Millenials,2069874,male,0.82,17,2004
"1,023,196,003,075",,5-14 years,Canada,33787,Millenials,1971134,female,0.56,11,2004
"1,169,357,979,865",0.892,35-54 years,Canada,38218,Boomers,5018957,male,26.72,1341,2005
"1,169,357,979,865",0.892,75+ years,Canada,38218,Silent,772032,male,21.37,165,2005
"1,169,357,979,865",0.892,55-74 years,Canada,38218,Silent,2802901,male,19.23,539,2005
"1,169,357,979,865",0.892,25-34 years,Canada,38218,Generation X,2236320,male,18.56,415,2005
"1,169,357,979,865",0.892,15-24 years,Canada,38218,Millenials,2249377,male,16.8,378,2005
"1,169,357,979,865",0.892,35-54 years,Canada,38218,Boomers,5018764,female,8.33,418,2005
"1,169,357,979,865",0.892,15-24 years,Canada,38218,Millenials,2144094,female,6.11,131,2005
"1,169,357,979,865",0.892,55-74 years,Canada,38218,Silent,2961910,female,5.33,158,2005
"1,169,357,979,865",0.892,75+ years,Canada,38218,Silent,1211769,female,4.79,58,2005
"1,169,357,979,865",0.892,25-34 years,Canada,38218,Generation X,2188897,female,4.39,96,2005
"1,169,357,979,865",0.892,5-14 years,Canada,38218,Millenials,1947297,female,1.28,25,2005
"1,169,357,979,865",0.892,5-14 years,Canada,38218,Millenials,2044772,male,0.93,19,2005
"1,315,415,197,461",,35-54 years,Canada,42566,Boomers,5050497,male,23.8,1202,2006
"1,315,415,197,461",,75+ years,Canada,42566,Silent,806380,male,23.31,188,2006
"1,315,415,197,461",,55-74 years,Canada,42566,Silent,2910932,male,20.58,599,2006
"1,315,415,197,461",,25-34 years,Canada,42566,Generation X,2220384,male,16.3,362,2006
"1,315,415,197,461",,15-24 years,Canada,42566,Millenials,2288073,male,14.47,331,2006
"1,315,415,197,461",,35-54 years,Canada,42566,Boomers,5021174,female,7.21,362,2006
"1,315,415,197,461",,55-74 years,Canada,42566,Silent,3071300,female,6.09,187,2006
"1,315,415,197,461",,25-34 years,Canada,42566,Generation X,2177957,female,5.42,118,2006
"1,315,415,197,461",,15-24 years,Canada,42566,Millenials,2179623,female,3.95,86,2006
"1,315,415,197,461",,75+ years,Canada,42566,Silent,1241475,female,3.71,46,2006
"1,315,415,197,461",,5-14 years,Canada,42566,Millenials,1920311,female,0.94,18,2006
"1,315,415,197,461",,5-14 years,Canada,42566,Millenials,2014856,male,0.65,13,2006
"1,464,977,190,206",,35-54 years,Canada,46890,Boomers,5064536,male,24.17,1224,2007
"1,464,977,190,206",,75+ years,Canada,46890,Silent,837259,male,21.86,183,2007
"1,464,977,190,206",,25-34 years,Canada,46890,Generation X,2250433,male,17.95,404,2007
"1,464,977,190,206",,55-74 years,Canada,46890,Silent,3006062,male,17.93,539,2007
"1,464,977,190,206",,15-24 years,Canada,46890,Millenials,2318148,male,15.49,359,2007
"1,464,977,190,206",,35-54 years,Canada,46890,Boomers,5030803,female,7.95,400,2007
"1,464,977,190,206",,55-74 years,Canada,46890,Silent,3170541,female,5.93,188,2007
"1,464,977,190,206",,15-24 years,Canada,46890,Millenials,2206555,female,5.26,116,2007
"1,464,977,190,206",,25-34 years,Canada,46890,Generation X,2212210,female,5.11,113,2007
"1,464,977,190,206",,75+ years,Canada,46890,Silent,1269438,female,4.1,52,2007
"1,464,977,190,206",,5-14 years,Canada,46890,Generation Z,1986129,male,0.91,18,2007
"1,464,977,190,206",,5-14 years,Canada,46890,Generation Z,1890517,female,0.79,15,2007
"1,549,131,208,997",,35-54 years,Canada,49041,Boomers,5076969,male,24.44,1241,2008
"1,549,131,208,997",,75+ years,Canada,49041,Silent,866435,male,22.16,192,2008
"1,549,131,208,997",,55-74 years,Canada,49041,Silent,3107189,male,18.96,589,2008
"1,549,131,208,997",,25-34 years,Canada,49041,Generation X,2286010,male,17.28,395,2008
"1,549,131,208,997",,15-24 years,Canada,49041,Millenials,2341539,male,14.69,344,2008
"1,549,131,208,997",,35-54 years,Canada,49041,Boomers,5038500,female,8.2,413,2008
"1,549,131,208,997",,55-74 years,Canada,49041,Silent,3276332,female,7.05,231,2008
"1,549,131,208,997",,15-24 years,Canada,49041,Millenials,2227003,female,5.34,119,2008
"1,549,131,208,997",,25-34 years,Canada,49041,Generation X,2251723,female,5.24,118,2008
"1,549,131,208,997",,75+ years,Canada,49041,Silent,1296269,female,2.93,38,2008
"1,549,131,208,997",,5-14 years,Canada,49041,Generation Z,1959155,male,0.82,16,2008
"1,549,131,208,997",,5-14 years,Canada,49041,Generation Z,1861517,female,0.48,9,2008
"1,371,153,004,986",,35-54 years,Canada,42933,Boomers,5085328,male,26.11,1328,2009
"1,371,153,004,986",,55-74 years,Canada,42933,Silent,3216246,male,21.14,680,2009
"1,371,153,004,986",,75+ years,Canada,42933,Silent,893202,male,20.38,182,2009
"1,371,153,004,986",,25-34 years,Canada,42933,Generation X,2325144,male,18.79,437,2009
"1,371,153,004,986",,15-24 years,Canada,42933,Millenials,2355316,male,14.82,349,2009
"1,371,153,004,986",,35-54 years,Canada,42933,Boomers,5043261,female,7.97,402,2009
"1,371,153,004,986",,15-24 years,Canada,42933,Millenials,2238546,female,5.81,130,2009
"1,371,153,004,986",,55-74 years,Canada,42933,Silent,3389717,female,5.66,192,2009
"1,371,153,004,986",,25-34 years,Canada,42933,Generation X,2293665,female,5.19,119,2009
"1,371,153,004,986",,75+ years,Canada,42933,Silent,1322098,female,3.48,46,2009
"1,371,153,004,986",,5-14 years,Canada,42933,Generation Z,1937420,male,0.67,13,2009
"1,371,153,004,986",,5-14 years,Canada,42933,Generation Z,1837414,female,0.65,12,2009
"1,613,464,422,811",0.903,35-54 years,Canada,49974,Generation X,5088099,male,25.39,1292,2010
"1,613,464,422,811",0.903,75+ years,Canada,49974,Silent,917671,male,21.79,200,2010
"1,613,464,422,811",0.903,55-74 years,Canada,49974,Silent,3333897,male,20.7,690,2010
"1,613,464,422,811",0.903,25-34 years,Canada,49974,Generation X,2366854,male,17.28,409,2010
"1,613,464,422,811",0.903,15-24 years,Canada,49974,Millenials,2357806,male,15.73,371,2010
"1,613,464,422,811",0.903,35-54 years,Canada,49974,Generation X,5044926,female,7.97,402,2010
"1,613,464,422,811",0.903,55-74 years,Canada,49974,Silent,3510692,female,6.75,237,2010
"1,613,464,422,811",0.903,25-34 years,Canada,49974,Generation X,2335884,female,6.59,154,2010
"1,613,464,422,811",0.903,15-24 years,Canada,49974,Millenials,2239759,female,5.13,115,2010
"1,613,464,422,811",0.903,75+ years,Canada,49974,Silent,1347679,female,3.64,49,2010
"1,613,464,422,811",0.903,5-14 years,Canada,49974,Generation Z,1922599,male,0.99,19,2010
"1,613,464,422,811",0.903,5-14 years,Canada,49974,Generation Z,1820274,female,0.71,13,2010
"1,788,647,906,048",0.909,35-54 years,Canada,54841,Generation X,5074280,male,22.21,1127,2011
"1,788,647,906,048",0.909,55-74 years,Canada,54841,Boomers,3455517,male,19.77,683,2011
"1,788,647,906,048",0.909,75+ years,Canada,54841,Silent,943428,male,19.5,184,2011
"1,788,647,906,048",0.909,25-34 years,Canada,54841,Millenials,2400784,male,17.08,410,2011
"1,788,647,906,048",0.909,15-24 years,Canada,54841,Millenials,2356694,male,15.45,364,2011
"1,788,647,906,048",0.909,35-54 years,Canada,54841,Generation X,5032043,female,7.75,390,2011
"1,788,647,906,048",0.909,15-24 years,Canada,54841,Millenials,2248192,female,6,135,2011
"1,788,647,906,048",0.909,55-74 years,Canada,54841,Boomers,3629587,female,5.92,215,2011
"1,788,647,906,048",0.909,25-34 years,Canada,54841,Millenials,2370185,female,5.65,134,2011
"1,788,647,906,048",0.909,75+ years,Canada,54841,Silent,1368680,female,4.02,55,2011
"1,788,647,906,048",0.909,5-14 years,Canada,54841,Generation Z,1815461,female,0.99,18,2011
"1,788,647,906,048",0.909,5-14 years,Canada,54841,Generation Z,1920567,male,0.68,13,2011
"1,824,288,757,448",0.91,35-54 years,Canada,55347,Generation X,5056024,male,23.83,1205,2012
"1,824,288,757,448",0.91,55-74 years,Canada,55347,Boomers,3586361,male,21.47,770,2012
"1,824,288,757,448",0.91,75+ years,Canada,55347,Silent,967342,male,18.61,180,2012
"1,824,288,757,448",0.91,25-34 years,Canada,55347,Millenials,2431632,male,17.23,419,2012
"1,824,288,757,448",0.91,15-24 years,Canada,55347,Millenials,2358461,male,16.15,381,2012
"1,824,288,757,448",0.91,35-54 years,Canada,55347,Generation X,5018897,female,7.67,385,2012
"1,824,288,757,448",0.91,55-74 years,Canada,55347,Boomers,3756013,female,6.42,241,2012
"1,824,288,757,448",0.91,15-24 years,Canada,55347,Millenials,2255895,female,6.07,137,2012
"1,824,288,757,448",0.91,25-34 years,Canada,55347,Millenials,2403433,female,5.37,129,2012
"1,824,288,757,448",0.91,75+ years,Canada,55347,Silent,1389078,female,3.24,45,2012
"1,824,288,757,448",0.91,5-14 years,Canada,55347,Generation Z,1816079,female,0.94,17,2012
"1,824,288,757,448",0.91,5-14 years,Canada,55347,Generation Z,1921981,male,0.88,17,2012
"1,842,628,005,830",0.912,35-54 years,Canada,55310,Generation X,5032714,male,24.72,1244,2013
"1,842,628,005,830",0.912,75+ years,Canada,55310,Silent,991048,male,23.31,231,2013
"1,842,628,005,830",0.912,55-74 years,Canada,55310,Boomers,3724622,male,21.8,812,2013
"1,842,628,005,830",0.912,25-34 years,Canada,55310,Millenials,2456335,male,17.87,439,2013
"1,842,628,005,830",0.912,15-24 years,Canada,55310,Millenials,2362807,male,12.7,300,2013
"1,842,628,005,830",0.912,35-54 years,Canada,55310,Generation X,5003771,female,7.99,400,2013
"1,842,628,005,830",0.912,55-74 years,Canada,55310,Boomers,3887315,female,6.56,255,2013
"1,842,628,005,830",0.912,15-24 years,Canada,55310,Millenials,2261173,female,6.1,138,2013
"1,842,628,005,830",0.912,25-34 years,Canada,55310,Millenials,2433660,female,5.55,135,2013
"1,842,628,005,830",0.912,75+ years,Canada,55310,Silent,1410630,female,4.61,65,2013
"1,842,628,005,830",0.912,5-14 years,Canada,55310,Generation Z,1823010,female,1.1,20,2013
"1,842,628,005,830",0.912,5-14 years,Canada,55310,Generation Z,1927751,male,0.78,15,2013
"17,702,885,394",0.654,75+ years,Chile,1658,G.I. Generation,87600,male,38.81,34,1985
"17,702,885,394",0.654,55-74 years,Chile,1658,G.I. Generation,538000,male,18.59,100,1985
"17,702,885,394",0.654,35-54 years,Chile,1658,Silent,1201800,male,14.48,174,1985
"17,702,885,394",0.654,25-34 years,Chile,1658,Boomers,962600,male,12.67,122,1985
"17,702,885,394",0.654,15-24 years,Chile,1658,Generation X,1239900,male,10.73,133,1985
"17,702,885,394",0.654,55-74 years,Chile,1658,G.I. Generation,633700,female,3.31,21,1985
"17,702,885,394",0.654,35-54 years,Chile,1658,Silent,1252200,female,3.19,40,1985
"17,702,885,394",0.654,15-24 years,Chile,1658,Generation X,1216200,female,2.22,27,1985
"17,702,885,394",0.654,75+ years,Chile,1658,G.I. Generation,141200,female,2.12,3,1985
"17,702,885,394",0.654,25-34 years,Chile,1658,Boomers,957500,female,1.98,19,1985
"17,702,885,394",0.654,5-14 years,Chile,1658,Generation X,1240900,male,0.73,9,1985
"17,702,885,394",0.654,5-14 years,Chile,1658,Generation X,1203800,female,0.08,1,1985
"18,891,048,819",,75+ years,Chile,1728,G.I. Generation,91400,male,22.98,21,1986
"18,891,048,819",,55-74 years,Chile,1728,G.I. Generation,550000,male,21.09,116,1986
"18,891,048,819",,35-54 years,Chile,1728,Silent,1237100,male,12.61,156,1986
"18,891,048,819",,25-34 years,Chile,1728,Boomers,1024700,male,12.1,124,1986
"18,891,048,819",,15-24 years,Chile,1728,Generation X,1261700,male,8.56,108,1986
"18,891,048,819",,15-24 years,Chile,1728,Generation X,1234200,female,3,37,1986
"18,891,048,819",,35-54 years,Chile,1728,Silent,1305400,female,2.83,37,1986
"18,891,048,819",,25-34 years,Chile,1728,Boomers,1018700,female,2.55,26,1986
"18,891,048,819",,55-74 years,Chile,1728,G.I. Generation,657700,female,2.28,15,1986
"18,891,048,819",,75+ years,Chile,1728,G.I. Generation,147500,female,2.03,3,1986
"18,891,048,819",,5-14 years,Chile,1728,Generation X,1224000,male,0.57,7,1986
"18,891,048,819",,5-14 years,Chile,1728,Generation X,1179300,female,0.34,4,1986
"22,255,407,685",,55-74 years,Chile,1985,G.I. Generation,563900,male,21.28,120,1987
"22,255,407,685",,75+ years,Chile,1985,G.I. Generation,93700,male,20.28,19,1987
"22,255,407,685",,25-34 years,Chile,1985,Boomers,1050700,male,13.99,147,1987
"22,255,407,685",,35-54 years,Chile,1985,Silent,1268600,male,12.61,160,1987
"22,255,407,685",,15-24 years,Chile,1985,Generation X,1293700,male,8.97,116,1987
"22,255,407,685",,55-74 years,Chile,1985,G.I. Generation,674400,female,3.41,23,1987
"22,255,407,685",,15-24 years,Chile,1985,Generation X,1265500,female,3,38,1987
"22,255,407,685",,25-34 years,Chile,1985,Boomers,1044400,female,2.78,29,1987
"22,255,407,685",,35-54 years,Chile,1985,Silent,1338500,female,2.54,34,1987
"22,255,407,685",,5-14 years,Chile,1985,Generation X,1255100,male,0.48,6,1987
"22,255,407,685",,5-14 years,Chile,1985,Generation X,1209200,female,0.08,1,1987
"22,255,407,685",,75+ years,Chile,1985,G.I. Generation,151300,female,0,0,1987
"26,040,229,793",,75+ years,Chile,2303,G.I. Generation,106000,male,27.36,29,1988
"26,040,229,793",,55-74 years,Chile,2303,G.I. Generation,566000,male,17.84,101,1988
"26,040,229,793",,25-34 years,Chile,2303,Boomers,1095000,male,14.61,160,1988
"26,040,229,793",,35-54 years,Chile,2303,Silent,1272000,male,13.6,173,1988
"26,040,229,793",,15-24 years,Chile,2303,Generation X,1259000,male,8.9,112,1988
"26,040,229,793",,15-24 years,Chile,2303,Generation X,1233000,female,3.08,38,1988
"26,040,229,793",,55-74 years,Chile,2303,G.I. Generation,697000,female,2.73,19,1988
"26,040,229,793",,35-54 years,Chile,2303,Silent,1329000,female,2.41,32,1988
"26,040,229,793",,75+ years,Chile,2303,G.I. Generation,172000,female,1.74,3,1988
"26,040,229,793",,25-34 years,Chile,2303,Boomers,1090000,female,1.74,19,1988
"26,040,229,793",,5-14 years,Chile,2303,Generation X,1224000,female,0.49,6,1988
"26,040,229,793",,5-14 years,Chile,2303,Generation X,1263000,male,0.4,5,1988
"29,885,685,143",,75+ years,Chile,2599,G.I. Generation,106000,male,32.08,34,1989
"29,885,685,143",,55-74 years,Chile,2599,G.I. Generation,579000,male,18.83,109,1989
"29,885,685,143",,25-34 years,Chile,2599,Boomers,1123000,male,14.43,162,1989
"29,885,685,143",,35-54 years,Chile,2599,Silent,1314000,male,12.94,170,1989
"29,885,685,143",,15-24 years,Chile,2599,Generation X,1255000,male,11.16,140,1989
"29,885,685,143",,35-54 years,Chile,2599,Silent,1370000,female,2.41,33,1989
"29,885,685,143",,15-24 years,Chile,2599,Generation X,1228000,female,2.12,26,1989
"29,885,685,143",,25-34 years,Chile,2599,Boomers,1117000,female,2.06,23,1989
"29,885,685,143",,75+ years,Chile,2599,G.I. Generation,175000,female,1.71,3,1989
"29,885,685,143",,55-74 years,Chile,2599,G.I. Generation,715000,female,1.68,12,1989
"29,885,685,143",,5-14 years,Chile,2599,Generation X,1280000,male,0.86,11,1989
"29,885,685,143",,5-14 years,Chile,2599,Generation X,1239000,female,0.16,2,1989
"33,113,887,818",0.699,55-74 years,Chile,2828,G.I. Generation,608000,male,23.85,145,1990
"33,113,887,818",0.699,75+ years,Chile,2828,G.I. Generation,112000,male,19.64,22,1990
"33,113,887,818",0.699,35-54 years,Chile,2828,Silent,1340000,male,13.13,176,1990
"33,113,887,818",0.699,25-34 years,Chile,2828,Boomers,1167000,male,12.68,148,1990
"33,113,887,818",0.699,15-24 years,Chile,2828,Generation X,1256000,male,10.67,134,1990
"33,113,887,818",0.699,55-74 years,Chile,2828,G.I. Generation,732000,female,2.6,19,1990
"33,113,887,818",0.699,35-54 years,Chile,2828,Silent,1419000,female,2.4,34,1990
"33,113,887,818",0.699,25-34 years,Chile,2828,Boomers,1162000,female,2.32,27,1990
"33,113,887,818",0.699,15-24 years,Chile,2828,Generation X,1230000,female,1.87,23,1990
"33,113,887,818",0.699,75+ years,Chile,2828,G.I. Generation,171000,female,1.75,3,1990
"33,113,887,818",0.699,5-14 years,Chile,2828,Generation X,1276000,male,0.71,9,1990
"33,113,887,818",0.699,5-14 years,Chile,2828,Generation X,1236000,female,0.24,3,1990
"37,834,793,730",,75+ years,Chile,3187,G.I. Generation,112500,male,27.56,31,1991
"37,834,793,730",,55-74 years,Chile,3187,Silent,617200,male,17.98,111,1991
"37,834,793,730",,35-54 years,Chile,3187,Boomers,1404000,male,15.81,222,1991
"37,834,793,730",,25-34 years,Chile,3187,Boomers,1178100,male,12.14,143,1991
"37,834,793,730",,15-24 years,Chile,3187,Generation X,1243900,male,11.42,142,1991
"37,834,793,730",,35-54 years,Chile,3187,Boomers,1453200,female,2.89,42,1991
"37,834,793,730",,15-24 years,Chile,3187,Generation X,1217200,female,2.79,34,1991
"37,834,793,730",,75+ years,Chile,3187,G.I. Generation,186300,female,2.68,5,1991
"37,834,793,730",,25-34 years,Chile,3187,Boomers,1171500,female,2.48,29,1991
"37,834,793,730",,55-74 years,Chile,3187,Silent,750400,female,2.13,16,1991
"37,834,793,730",,5-14 years,Chile,3187,Millenials,1247600,female,0.56,7,1991
"37,834,793,730",,5-14 years,Chile,3187,Millenials,1289100,male,0.39,5,1991
"45,964,327,559",,75+ years,Chile,3791,G.I. Generation,118000,male,21.19,25,1992
"45,964,327,559",,55-74 years,Chile,3791,Silent,640000,male,16.41,105,1992
"45,964,327,559",,25-34 years,Chile,3791,Boomers,1211000,male,13.38,162,1992
"45,964,327,559",,35-54 years,Chile,3791,Boomers,1435000,male,11.85,170,1992
"45,964,327,559",,15-24 years,Chile,3791,Generation X,1245000,male,7.55,94,1992
"45,964,327,559",,15-24 years,Chile,3791,Generation X,1218000,female,2.38,29,1992
"45,964,327,559",,25-34 years,Chile,3791,Boomers,1205000,female,2.07,25,1992
"45,964,327,559",,35-54 years,Chile,3791,Boomers,1512000,female,1.79,27,1992
"45,964,327,559",,55-74 years,Chile,3791,Silent,769000,female,1.56,12,1992
"45,964,327,559",,5-14 years,Chile,3791,Millenials,1316000,male,0.46,6,1992
"45,964,327,559",,5-14 years,Chile,3791,Millenials,1273000,female,0.24,3,1992
"45,964,327,559",,75+ years,Chile,3791,G.I. Generation,183000,female,0,0,1992
"49,297,773,130",,75+ years,Chile,4006,G.I. Generation,119900,male,41.7,50,1993
"49,297,773,130",,55-74 years,Chile,4006,Silent,649000,male,16.95,110,1993
"49,297,773,130",,35-54 years,Chile,4006,Boomers,1509600,male,12.39,187,1993
"49,297,773,130",,25-34 years,Chile,4006,Boomers,1213100,male,12.37,150,1993
"49,297,773,130",,15-24 years,Chile,4006,Generation X,1237400,male,9.54,118,1993
"49,297,773,130",,35-54 years,Chile,4006,Boomers,1555600,female,2.89,45,1993
"49,297,773,130",,55-74 years,Chile,4006,Silent,782200,female,2.3,18,1993
"49,297,773,130",,15-24 years,Chile,4006,Generation X,1209600,female,2.15,26,1993
"49,297,773,130",,25-34 years,Chile,4006,Boomers,1205200,female,1.99,24,1993
"49,297,773,130",,5-14 years,Chile,4006,Millenials,1334500,male,0.67,9,1993
"49,297,773,130",,5-14 years,Chile,4006,Millenials,1290200,female,0.23,3,1993
"49,297,773,130",,75+ years,Chile,4006,G.I. Generation,200100,female,0,0,1993
"57,008,425,296",,75+ years,Chile,4551,G.I. Generation,123700,male,26.68,33,1994
"57,008,425,296",,55-74 years,Chile,4551,Silent,666400,male,19.06,127,1994
"57,008,425,296",,25-34 years,Chile,4551,Boomers,1224400,male,15.03,184,1994
"57,008,425,296",,35-54 years,Chile,4551,Boomers,1564900,male,14.25,223,1994
"57,008,425,296",,15-24 years,Chile,4551,Generation X,1235400,male,10.93,135,1994
"57,008,425,296",,25-34 years,Chile,4551,Boomers,1215800,female,2.14,26,1994
"57,008,425,296",,55-74 years,Chile,4551,Silent,799600,female,2,16,1994
"57,008,425,296",,35-54 years,Chile,4551,Boomers,1609700,female,1.86,30,1994
"57,008,425,296",,15-24 years,Chile,4551,Generation X,1206800,female,1.49,18,1994
"57,008,425,296",,75+ years,Chile,4551,G.I. Generation,207300,female,1.45,3,1994
"57,008,425,296",,5-14 years,Chile,4551,Millenials,1313500,female,0.3,4,1994
"57,008,425,296",,5-14 years,Chile,4551,Millenials,1359100,male,0.15,2,1994
"73,447,063,319",0.723,75+ years,Chile,5695,G.I. Generation,133512,male,31.46,42,1995
"73,447,063,319",0.723,55-74 years,Chile,5695,Silent,688457,male,20.92,144,1995
"73,447,063,319",0.723,35-54 years,Chile,5695,Boomers,1658149,male,16.34,271,1995
"73,447,063,319",0.723,25-34 years,Chile,5695,Generation X,1229397,male,15.54,191,1995
"73,447,063,319",0.723,15-24 years,Chile,5695,Generation X,1250060,male,11.92,149,1995
"73,447,063,319",0.723,55-74 years,Chile,5695,Silent,835569,female,3.23,27,1995
"73,447,063,319",0.723,15-24 years,Chile,5695,Generation X,1219884,female,2.62,32,1995
"73,447,063,319",0.723,75+ years,Chile,5695,G.I. Generation,231756,female,2.16,5,1995
"73,447,063,319",0.723,35-54 years,Chile,5695,Boomers,1697961,female,2.06,35,1995
"73,447,063,319",0.723,25-34 years,Chile,5695,Generation X,1218604,female,1.64,20,1995
"73,447,063,319",0.723,5-14 years,Chile,5695,Millenials,1390311,male,0.72,10,1995
"73,447,063,319",0.723,5-14 years,Chile,5695,Millenials,1343983,female,0.3,4,1995
"78,039,572,222",,55-74 years,Chile,5946,Silent,710072,male,22.39,159,1996
"78,039,572,222",,75+ years,Chile,5946,G.I. Generation,139885,male,19.3,27,1996
"78,039,572,222",,35-54 years,Chile,5946,Boomers,1711922,male,15.54,266,1996
"78,039,572,222",,25-34 years,Chile,5946,Generation X,1241653,male,14.01,174,1996
"78,039,572,222",,15-24 years,Chile,5946,Generation X,1251601,male,13.02,163,1996
"78,039,572,222",,15-24 years,Chile,5946,Generation X,1220658,female,2.87,35,1996
"78,039,572,222",,55-74 years,Chile,5946,Silent,857363,female,2.22,19,1996
"78,039,572,222",,35-54 years,Chile,5946,Boomers,1749299,female,2.12,37,1996
"78,039,572,222",,25-34 years,Chile,5946,Generation X,1230619,female,1.79,22,1996
"78,039,572,222",,75+ years,Chile,5946,G.I. Generation,241120,female,1.66,4,1996
"78,039,572,222",,5-14 years,Chile,5946,Millenials,1408982,male,0.5,7,1996
"78,039,572,222",,5-14 years,Chile,5946,Millenials,1361915,female,0.29,4,1996
"84,952,360,922",,75+ years,Chile,6368,G.I. Generation,145725,male,28.14,41,1997
"84,952,360,922",,55-74 years,Chile,6368,Silent,734236,male,18.66,137,1997
"84,952,360,922",,25-34 years,Chile,6368,Generation X,1250037,male,14.8,185,1997
"84,952,360,922",,35-54 years,Chile,6368,Boomers,1763823,male,14.74,260,1997
"84,952,360,922",,15-24 years,Chile,6368,Generation X,1255098,male,11.71,147,1997
"84,952,360,922",,15-24 years,Chile,6368,Generation X,1223306,female,3.84,47,1997
"84,952,360,922",,35-54 years,Chile,6368,Boomers,1798922,female,2.22,40,1997
"84,952,360,922",,55-74 years,Chile,6368,Silent,881537,female,1.93,17,1997
"84,952,360,922",,25-34 years,Chile,6368,Generation X,1238772,female,1.78,22,1997
"84,952,360,922",,75+ years,Chile,6368,G.I. Generation,250029,female,1.6,4,1997
"84,952,360,922",,5-14 years,Chile,6368,Millenials,1422834,male,0.42,6,1997
"84,952,360,922",,5-14 years,Chile,6368,Millenials,1375231,female,0.29,4,1997
"81,577,430,181",,75+ years,Chile,6023,G.I. Generation,151228,male,27.77,42,1998
"81,577,430,181",,55-74 years,Chile,6023,Silent,760504,male,22.88,174,1998
"81,577,430,181",,35-54 years,Chile,6023,Boomers,1814884,male,17.63,320,1998
"81,577,430,181",,25-34 years,Chile,6023,Generation X,1254955,male,16.57,208,1998
"81,577,430,181",,15-24 years,Chile,6023,Generation X,1261357,male,11.97,151,1998
"81,577,430,181",,75+ years,Chile,6023,G.I. Generation,258839,female,3.48,9,1998
"81,577,430,181",,15-24 years,Chile,6023,Generation X,1228590,female,3.01,37,1998
"81,577,430,181",,25-34 years,Chile,6023,Generation X,1243432,female,2.41,30,1998
"81,577,430,181",,35-54 years,Chile,6023,Boomers,1847894,female,2.16,40,1998
"81,577,430,181",,55-74 years,Chile,6023,Silent,907553,female,1.32,12,1998
"81,577,430,181",,5-14 years,Chile,6023,Millenials,1383385,female,0.29,4,1998
"81,577,430,181",,5-14 years,Chile,6023,Millenials,1431319,male,0.28,4,1998
"75,173,794,497",,75+ years,Chile,5470,G.I. Generation,156699,male,32.55,51,1999
"75,173,794,497",,55-74 years,Chile,5470,Silent,788056,male,21.19,167,1999
"75,173,794,497",,25-34 years,Chile,5470,Generation X,1257020,male,17.66,222,1999
"75,173,794,497",,35-54 years,Chile,5470,Boomers,1866819,male,17.3,323,1999
"75,173,794,497",,15-24 years,Chile,5470,Generation X,1271218,male,10.78,137,1999
"75,173,794,497",,55-74 years,Chile,5470,Silent,934470,female,2.78,26,1999
"75,173,794,497",,15-24 years,Chile,5470,Generation X,1237322,female,2.75,34,1999
"75,173,794,497",,25-34 years,Chile,5470,Generation X,1245169,female,2.65,33,1999
"75,173,794,497",,35-54 years,Chile,5470,Boomers,1897956,female,2.05,39,1999
"75,173,794,497",,75+ years,Chile,5470,G.I. Generation,268032,female,1.87,5,1999
"75,173,794,497",,5-14 years,Chile,5470,Millenials,1434608,male,0.21,3,1999
"75,173,794,497",,5-14 years,Chile,5470,Millenials,1386513,female,0.07,1,1999
